"","mu","Ne","Log.likelihood"
"1",1e-06,10,-4257.02517624182
"2",1.5e-06,10,-4116.43881954999
"3",2e-06,10,-4028.7377581154
"4",2.5e-06,10,-3970.01264157321
"5",3e-06,10,-3929.61936351027
"6",3.5e-06,10,-3901.87552151122
"7",4e-06,10,-3883.39045179814
"8",4.5e-06,10,-3871.97710672129
"9",5e-06,10,-3866.14218550712
"10",5.5e-06,10,-3864.82057750042
"11",6e-06,10,-3867.22584439228
"12",6.5e-06,10,-3872.76075626798
"13",7e-06,10,-3880.96107687866
"14",7.5e-06,10,-3891.45879020102
"15",8e-06,10,-3903.95721936832
"16",8.5e-06,10,-3918.21370189485
"17",9e-06,10,-3934.02722439259
"18",1e-06,11,-4229.1573833394
"19",1.5e-06,11,-4090.73305241789
"20",2e-06,11,-4005.19294600804
"21",2.5e-06,11,-3948.63229400942
"22",3e-06,11,-3910.40151162601
"23",3.5e-06,11,-3884.82024710742
"24",4e-06,11,-3868.4978366801
"25",4.5e-06,11,-3859.24723269927
"26",5e-06,11,-3855.57513439603
"27",5.5e-06,11,-3856.4164311203
"28",6e-06,11,-3860.98468456807
"29",6.5e-06,11,-3868.682664829
"30",7e-06,11,-3879.04613565939
"31",7.5e-06,11,-3891.70708104087
"32",8e-06,11,-3906.36882411142
"33",8.5e-06,11,-3922.7887023899
"34",9e-06,11,-3940.76570249353
"35",1e-06,12,-4204.64634164574
"36",1.5e-06,12,-4068.19932759419
"37",2e-06,12,-3984.63651287141
"38",2.5e-06,12,-3930.0533107443
"39",3e-06,12,-3893.8000578394
"40",3.5e-06,12,-3870.19640241071
"41",4e-06,12,-3855.85168068978
"42",4.5e-06,12,-3848.57884503705
"43",5e-06,12,-3846.88459468873
"44",5.5e-06,12,-3849.70381899931
"45",6e-06,12,-3856.25007966995
"46",6.5e-06,12,-3865.9261467957
"47",7e-06,12,-3878.26778413743
"48",7.5e-06,12,-3892.9069756817
"49",8e-06,12,-3909.54704457207
"50",8.5e-06,12,-3927.94532833214
"51",9e-06,12,-3947.90081358408
"52",1e-06,13,-4182.93470205497
"53",1.5e-06,13,-4048.30023607031
"54",2e-06,13,-3966.5499418355
"55",2.5e-06,13,-3913.77941598627
"56",3e-06,13,-3879.33891657068
"57",3.5e-06,13,-3857.54809184801
"58",4e-06,13,-3845.01627805491
"59",4.5e-06,13,-3839.55642755684
"60",5e-06,13,-3839.67523959542
"61",5.5e-06,13,-3844.30760353021
"62",6e-06,13,-3852.6670810675
"63",6.5e-06,13,-3864.15644230727
"64",7e-06,13,-3878.31145101589
"65",7.5e-06,13,-3894.76409118506
"66",8e-06,13,-3913.21768596325
"67",8.5e-06,13,-3933.42957287948
"68",9e-06,13,-3955.19873856065
"69",1e-06,14,-4163.59256118637
"70",1.5e-06,14,-4030.62304071665
"71",2e-06,14,-3950.53766189157
"72",2.5e-06,14,-3899.43220471667
"73",3e-06,14,-3866.65684866135
"74",3.5e-06,14,-3846.53124198998
"75",4e-06,14,-3835.66472094472
"76",4.5e-06,14,-3831.87023789621
"77",5e-06,14,-3833.65449209128
"78",5.5e-06,14,-3839.95237289467
"79",6e-06,14,-3849.97744201811
"80",6.5e-06,14,-3863.13246956677
"81",7e-06,14,-3878.95321931212
"82",7.5e-06,14,-3897.07167525147
"83",8e-06,14,-3917.19116053815
"84",8.5e-06,14,-3939.06901270664
"85",9e-06,14,-3962.5042183892
"86",1e-06,15,-4146.28134934468
"87",1.5e-06,15,-4014.84271619328
"88",2e-06,15,-3936.29054939996
"89",2.5e-06,15,-3886.71727621155
"90",3e-06,15,-3855.47417622818
"91",3.5e-06,15,-3836.88089771988
"92",4e-06,15,-3827.54677693395
"93",4.5e-06,15,-3825.28476624645
"94",5e-06,15,-3828.60156490922
"95",5.5e-06,15,-3836.43206229271
"96",6e-06,15,-3847.98982011394
"97",6.5e-06,15,-3862.67760848321
"98",7e-06,15,-3880.03119117746
"99",7.5e-06,15,-3899.68255219913
"100",8e-06,15,-3921.33501470705
"101",8.5e-06,15,-3944.74591624099
"102",9e-06,15,-3969.71424343845
"103",1e-06,16,-4130.7298407955
"104",1.5e-06,16,-4000.70304113009
"105",2e-06,16,-3923.56282965128
"106",2.5e-06,16,-3875.40158122426
"107",3e-06,16,-3845.57057545434
"108",3.5e-06,16,-3828.38946061683
"109",4e-06,16,-3820.46757296446
"110",4.5e-06,16,-3819.61786487838
"111",5e-06,16,-3824.3470356165
"112",5.5e-06,16,-3833.5899745539
"113",6e-06,16,-3846.56024341339
"114",6.5e-06,16,-3862.6606123104
"115",7e-06,16,-3881.42684502745
"116",7.5e-06,16,-3902.49092557231
"117",8e-06,16,-3925.5561771089
"118",8.5e-06,16,-3950.3799371827
"119",9e-06,16,-3976.7611924367
"120",1e-06,17,-4116.71716645849
"121",1.5e-06,17,-3987.99347740414
"122",2e-06,17,-3912.15613948164
"123",2.5e-06,17,-3865.29783142164
"124",3e-06,17,-3836.76983283453
"125",3.5e-06,17,-3820.89179200118
"126",4e-06,17,-3814.27304517968
"127",4.5e-06,17,-3814.72654475641
"128",5e-06,17,-3820.75898999476
"129",5.5e-06,17,-3831.30527027532
"130",6e-06,17,-3845.57894732596
"131",6.5e-06,17,-3862.98279126801
"132",7e-06,17,-3883.05256588861
"133",7.5e-06,17,-3905.42025520157
"134",8e-06,17,-3929.78918237604
"135",8.5e-06,17,-3955.91668496284
"136",9e-06,17,-3983.60174961008
"137",1e-06,18,-4104.06240003394
"138",1.5e-06,18,-3976.54210499552
"139",2e-06,18,-3901.9082567097
