mu,Ne,LL
1e-6,10,-3799.9274813059
1.2499999999999999e-6,10,-3720.4690485289116
1.5e-6,10,-3659.3398693451973
1.75e-6,10,-3610.8595919761387
2e-6,10,-3571.637552620971
2.25e-6,10,-3539.4843966584417
2.4999999999999998e-6,10,-3512.9111808396533
2.75e-6,10,-3490.8507438836623
3e-6,10,-3472.516647459822
3.25e-6,10,-3457.3116616300763
3.5e-6,10,-3444.7715501231423
3.7499999999999997e-6,10,-3434.5282968935057
4e-6,10,-3426.2852250516676
4.25e-6,10,-3419.79967208922
4.5e-6,10,-3414.8706245956655
4.749999999999999e-6,10,-3411.3297006566027
4.9999999999999996e-6,10,-3409.034447981601
5.25e-6,10,-3407.863278871755
5.5e-6,10,-3407.7115845542357
5.75e-6,10,-3408.488713965912
6e-6,10,-3410.1155960046863
6.2499999999999995e-6,10,-3412.5228474880537
6.5e-6,10,-3415.64925241821
6.75e-6,10,-3419.4405284064374
7e-6,10,-3423.8483175459537
7.25e-6,10,-3428.82935444567
7.499999999999999e-6,10,-3434.344775364623
7.75e-6,10,-3440.359540667593
8e-6,10,-3446.841949007476
8.249999999999999e-6,10,-3453.7632262849465
8.5e-6,10,-3461.0971759887943
8.75e-6,10,-3468.8198802328
9e-6,10,-3476.909442920563
1e-6,10.05,-3798.4439109893437
1.2499999999999999e-6,10.05,-3719.041906358289
1.5e-6,10.05,-3657.9691563546394
1.75e-6,10.05,-3609.545309199797
2e-6,10.05,-3570.3797010933295
2.25e-6,10.05,-3538.2829658784995
2.4999999999999998e-6,10.05,-3511.7661820949643
2.75e-6,10.05,-3489.7621782088686
3e-6,10.05,-3471.4845158889925
3.25e-6,10.05,-3456.3359651979563
3.5e-6,10.05,-3443.8522898640576
3.7499999999999997e-6,10.05,-3433.6654738419247
4e-6,10.05,-3425.4788402420218
4.25e-6,10.05,-3419.0497265561403
4.5e-6,10.05,-3414.1771193736085
4.749999999999999e-6,10.05,-3410.6926367799665
4.9999999999999996e-6,10.05,-3408.453826485456
5.25e-6,10.05,-3407.339100790516
5.5e-6,10.05,-3407.2438509225453
5.75e-6,10.05,-3408.077425818499
6e-6,10.05,-3409.760754376431
6.2499999999999995e-6,10.05,-3412.224453413393
6.5e-6,10.05,-3415.40730693222
6.75e-6,10.05,-3419.2550325438788
7e-6,10.05,-3423.719272341584
7.25e-6,10.05,-3428.7567609345124
7.499999999999999e-6,10.05,-3434.3286345813444
7.75e-6,10.05,-3440.399853647441
8e-6,10.05,-3446.9387167852046
8.249999999999999e-6,10.05,-3453.9164498958503
8.5e-6,10.05,-3461.3068564677014
8.75e-6,10.05,-3469.0860186148175
9e-6,10.05,-3477.2320402405285
1e-6,10.1,-3796.9704181973207
1.2499999999999999e-6,10.1,-3717.624582659236
1.5e-6,10.1,-3656.6080027816056
1.75e-6,10.1,-3608.2403267858576
2e-6,10.1,-3569.1308908716937
2.25e-6,10.1,-3537.090317346602
2.4999999999999998e-6,10.1,-3510.6297065399285
2.75e-6,10.1,-3488.681876663698
3e-6,10.1,-3470.460389386726
3.25e-6,10.1,-3455.3680147717164
3.5e-6,10.1,-3442.9405165473245
3.7499999999999997e-6,10.1,-3432.809878667957
4e-6,10.1,-3424.6794242440983
4.25e-6,10.1,-3418.3064907674707
4.5e-6,10.1,-3413.4900648276634
4.749999999999999e-6,10.1,-3410.0617645102516
4.9999999999999996e-6,10.1,-3407.879137525157
5.25e-6,10.1,-3406.8205961732233
5.5e-6,10.1,-3406.781531681601
5.75e-6,10.1,-3407.6712929876035
6e-6,10.1,-3409.410808988946
6.2499999999999995e-6,10.1,-3411.9306965031055
6.5e-6,10.1,-3415.1697395326346
6.75e-6,10.1,-3419.0736556884276
7e-6,10.1,-3423.594087064253
7.25e-6,10.1,-3428.6877682688537
7.499999999999999e-6,10.1,-3434.315835561139
7.75e-6,10.1,-3440.443249306335
8e-6,10.1,-3447.038308157026
8.249999999999999e-6,10.1,-3454.0722380143616
8.5e-6,10.1,-3461.5188423666114
